trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
TRD-20260101-0001,2,2,EQUITY,SELL,47,165.1724,2026-01-01,PENDING
TRD-20260101-0002,3,3,EQUITY,BUY,84,14.6124,2026-01-01,PENDING
TRD-20260101-0003,4,4,EQUITY,SELL,121,224.315,2026-01-01,PENDING
TRD-20260102-0004,5,5,EQUITY,BUY,158,416.2444,2026-01-02,PENDING
TRD-20260102-0005,6,6,EQUITY,SELL,195,171.171,2026-01-02,PENDING
TRD-20260102-0006,7,7,EQUITY,BUY,232,684.5792,2026-01-02,PENDING
TRD-20260103-0007,8,8,EQUITY,SELL,269,70.8225,2026-01-03,PENDING
TRD-20260103-0008,9,9,EQUITY,BUY,306,21.5136,2026-01-03,PENDING
TRD-20260103-0009,10,10,FIXED_INCOME,SELL,343,98.5525,2026-01-03,PENDING
TRD-20260104-0010,11,1,FIXED_INCOME,BUY,380,96.4,2026-01-04,PENDING
TRD-20260104-0011,12,2,FIXED_INCOME,SELL,417,97.2942,2026-01-04,PENDING
TRD-20260104-0012,13,3,FX,BUY,454,1.0885,2026-01-04,PENDING
TRD-20260105-0013,14,4,FX,SELL,491,150.2461,2026-01-05,PENDING
TRD-20260105-0014,15,5,FX,BUY,528,1.2736,2026-01-05,PENDING
TRD-20260105-0015,1,6,EQUITY,SELL,565,180.184,2026-01-05,PENDING
TRD-20260106-0016,2,7,EQUITY,BUY,602,170.2184,2026-01-06,PENDING
TRD-20260106-0017,3,8,EQUITY,SELL,639,15.0579,2026-01-06,PENDING
TRD-20260106-0018,4,9,EQUITY,BUY,676,231.14,2026-01-06,PENDING
TRD-20260107-0019,5,10,EQUITY,SELL,713,428.8834,2026-01-07,PENDING
TRD-20260107-0020,6,1,EQUITY,BUY,750,176.358,2026-01-07,PENDING
TRD-20260107-0021,7,2,EQUITY,SELL,787,676.298,2026-01-07,PENDING
TRD-20260108-0022,8,3,EQUITY,BUY,824,69.9675,2026-01-08,PENDING
TRD-20260108-0023,9,4,EQUITY,SELL,861,21.2544,2026-01-08,PENDING
TRD-20260108-0024,10,5,FIXED_INCOME,BUY,898,97.3675,2026-01-08,PENDING
TRD-20260109-0025,11,6,FIXED_INCOME,SELL,935,95.2432,2026-01-09,PENDING
TRD-20260109-0026,12,7,FIXED_INCOME,BUY,972,96.129,2026-01-09,PENDING
TRD-20260109-0027,13,8,FX,SELL,1009,1.0755,2026-01-09,PENDING
TRD-20260110-0028,14,9,FX,BUY,1046,148.4539,2026-01-10,PENDING
TRD-20260110-0029,15,10,FX,SELL,1083,1.2584,2026-01-10,PENDING
TRD-20260110-0030,1,1,EQUITY,BUY,1120,178.0432,2026-01-10,PENDING
TRD-20260111-0031,2,2,EQUITY,SELL,1157,168.2,2026-01-11,PENDING
TRD-20260111-0032,3,3,EQUITY,BUY,1194,14.8797,2026-01-11,PENDING
TRD-20260111-0033,4,4,EQUITY,SELL,1231,228.41,2026-01-11,PENDING
TRD-20260112-0034,5,5,EQUITY,BUY,1268,423.8278,2026-01-12,PENDING
TRD-20260112-0035,6,6,EQUITY,SELL,1305,174.2832,2026-01-12,PENDING
TRD-20260112-0036,7,7,EQUITY,BUY,1342,697.001,2026-01-12,PENDING
TRD-20260113-0037,8,8,EQUITY,SELL,1379,72.105,2026-01-13,PENDING
TRD-20260113-0038,9,9,EQUITY,BUY,1416,21.9024,2026-01-13,PENDING
TRD-20260113-0039,10,10,FIXED_INCOME,SELL,1453,100.33,2026-01-13,PENDING
TRD-20260114-0040,11,1,FIXED_INCOME,BUY,1490,98.1352,2026-01-14,PENDING
TRD-20260114-0041,12,2,FIXED_INCOME,SELL,1527,99.042,2026-01-14,PENDING
TRD-20260114-0042,13,3,FX,BUY,1564,1.0625,2026-01-14,PENDING
TRD-20260115-0043,14,4,FX,SELL,1601,146.6617,2026-01-15,PENDING
TRD-20260115-0044,15,5,FX,BUY,1638,1.2433,2026-01-15,PENDING
TRD-20260115-0045,1,6,EQUITY,SELL,1675,175.9024,2026-01-15,PENDING
TRD-20260116-0046,2,7,EQUITY,BUY,1712,166.1816,2026-01-16,PENDING
TRD-20260116-0047,3,8,EQUITY,SELL,1749,14.7015,2026-01-16,PENDING
TRD-20260116-0048,4,9,EQUITY,BUY,1786,225.68,2026-01-16,PENDING
TRD-20260117-0049,5,10,EQUITY,SELL,1823,418.7722,2026-01-17,PENDING
TRD-20260117-0050,6,1,EQUITY,BUY,1860,172.2084,2026-01-17,PENDING
TRD-20260117-0051,7,2,EQUITY,SELL,1897,688.7198,2026-01-17,PENDING
TRD-20260118-0052,8,3,EQUITY,BUY,1934,71.25,2026-01-18,PENDING
TRD-20260118-0053,9,4,EQUITY,SELL,1971,21.6432,2026-01-18,PENDING
TRD-20260118-0054,10,5,FIXED_INCOME,BUY,2008,99.145,2026-01-18,PENDING
TRD-20260119-0055,11,6,FIXED_INCOME,SELL,2045,96.9784,2026-01-19,PENDING
TRD-20260119-0056,12,7,FIXED_INCOME,BUY,2082,97.8768,2026-01-19,PENDING
TRD-20260119-0057,13,8,FX,SELL,2119,1.095,2026-01-19,PENDING
TRD-20260120-0058,14,9,FX,BUY,2156,151.1422,2026-01-20,PENDING
TRD-20260120-0059,15,10,FX,SELL,2193,1.2812,2026-01-20,PENDING
TRD-20260120-0060,1,1,EQUITY,BUY,2230,181.2544,2026-01-20,PENDING
TRD-20260121-0061,2,2,EQUITY,SELL,2267,171.2276,2026-01-21,PENDING
TRD-20260121-0062,3,3,EQUITY,BUY,2304,15.147,2026-01-21,PENDING
TRD-20260121-0063,4,4,EQUITY,SELL,2341,222.95,2026-01-21,PENDING
TRD-20260122-0064,5,5,EQUITY,BUY,2378,413.7166,2026-01-22,PENDING
TRD-20260122-0065,6,6,EQUITY,SELL,2415,170.1336,2026-01-22,PENDING
TRD-20260122-0066,7,7,EQUITY,BUY,2452,680.4386,2026-01-22,PENDING
TRD-20260123-0067,8,8,EQUITY,SELL,2489,70.395,2026-01-23,PENDING
TRD-20260123-0068,9,9,EQUITY,BUY,2526,21.384,2026-01-23,PENDING
TRD-20260123-0069,10,10,FIXED_INCOME,SELL,2563,97.96,2026-01-23,PENDING
TRD-20260124-0070,11,1,FIXED_INCOME,BUY,2600,95.8216,2026-01-24,PENDING
TRD-20260124-0071,12,2,FIXED_INCOME,SELL,2637,96.7116,2026-01-24,PENDING
TRD-20260124-0072,13,3,FX,BUY,2674,1.082,2026-01-24,PENDING
TRD-20260125-0073,14,4,FX,SELL,2711,149.35,2026-01-25,PENDING
TRD-20260125-0074,15,5,FX,BUY,2748,1.266,2026-01-25,PENDING
TRD-20260125-0075,1,6,EQUITY,SELL,2785,179.1136,2026-01-25,PENDING
TRD-20260126-0076,2,7,EQUITY,BUY,2822,169.2092,2026-01-26,PENDING
TRD-20260126-0077,3,8,EQUITY,SELL,2859,14.9688,2026-01-26,PENDING
TRD-20260126-0078,4,9,EQUITY,BUY,2896,229.775,2026-01-26,PENDING
TRD-20260127-0079,5,10,EQUITY,SELL,2933,426.3556,2026-01-27,PENDING
TRD-20260127-0080,6,1,EQUITY,BUY,2970,175.3206,2026-01-27,PENDING
TRD-20260127-0081,7,2,EQUITY,SELL,3007,701.1416,2026-01-27,PENDING
TRD-20260128-0082,8,3,EQUITY,BUY,3044,72.5325,2026-01-28,PENDING
TRD-20260128-0083,9,4,EQUITY,SELL,3081,22.032,2026-01-28,PENDING
TRD-20260128-0084,10,5,FIXED_INCOME,BUY,3118,96.775,2026-01-28,PENDING
TRD-20260129-0085,11,6,FIXED_INCOME,SELL,3155,94.6648,2026-01-29,PENDING
TRD-20260129-0086,12,7,FIXED_INCOME,BUY,3192,95.5464,2026-01-29,PENDING
TRD-20260129-0087,13,8,FX,SELL,3229,1.069,2026-01-29,PENDING
TRD-20260130-0088,14,9,FX,BUY,3266,147.5578,2026-01-30,PENDING
TRD-20260130-0089,15,10,FX,SELL,3303,1.2509,2026-01-30,PENDING
TRD-20260130-0090,1,1,EQUITY,BUY,3340,176.9728,2026-01-30,PENDING
TRD-20260131-0091,2,2,EQUITY,SELL,3377,167.1908,2026-01-31,PENDING
TRD-20260131-0092,3,3,EQUITY,BUY,3414,14.7906,2026-01-31,PENDING
